Магазин,Файл,Дата заказа,Товар,Количество,Единица,Вес единицы,Цена за единицу (BYN),Итого (BYN),Сумма чека (BYN)
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"П/ф фарш ""НЕЖНЫЙ МИКС"" (охл) 500г",2.0,г,500,10.89,21.78,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Напиток к/м""EXP.HIGH- PRO""(клуб/арб)250г",1.0,г,250,3.99,3.99,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Вафли""ВИТОША""(шоколад)143г",1.0,г,143,1.88,1.88,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,Томат (Беларусь)1кг,0.957,кг,1,4.79,4.58,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Вафли""СПАРТАК""(на фруктозе)100г",1.0,г,100,1.73,1.73,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,Банан 1кг,1.077,кг,1,4.59,4.94,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,Мандарин 1 кг,1.195,кг,1,4.99,5.96,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,Хурма 1кг,1.15,кг,1,6.59,7.58,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Хурма""КОРОЛЕК""1кг",0.994,кг,1,6.49,6.45,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Молоко""ЗДРАВУШКА""3.4- 6%(паст,ПЭТ)0.93л",3.0,л,0.93,2.71,8.13,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Молоко""САВУШКИН""3.1%(у/пас,ТБА)1л",2.0,л,1,3.19,6.38,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Колбаса с/в""ПРАЖСКАЯ""(экс,игаз,мб)180г",1.0,г,180,6.82,6.82,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Йогурт""БЕЛЛАКТ""3%(малин./земл,ДП)100г",2.0,г,100,0.77,1.54,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Йогурт""TEOS""2%(греческ,злак/кл.льна)250г",2.0,г,250,2.54,5.08,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Йогурт""БЕЛЛАКТ""2.9%(голубика,ДП)100г",2.0,г,100,0.77,1.54,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Блинчики""БАБУШКА АНЯ""(с творогом)360г",2.0,г,360,4.42,8.84,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Блинчики""БАБУШКА АНЯ""(птица)420г",2.0,г,420,4.93,9.86,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Напиток к/м""EXP.HIGH-PRO""(дыня)250г",2.0,г,250,3.99,7.98,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Йогурт""TEOS""2%(греческ,орех-мёд)250г",2.0,г,250,2.54,5.08,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Печенье""СЛОДЫЧ""(Мариэрта)430г",1.0,г,430,3.7,3.7,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Йогурт""БЕЛЛАКТ""3%(ябл,перс,бан,ДП)100г",2.0,г,100,0.77,1.54,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Йогурт""БЕЛЛАКТ""3%(черн-зем- еж,ст,ДП)100г",2.0,г,100,0.77,1.54,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Конс.мол.сгущ.""РОГАЧЕВЪ""8.5%(с/с)270г",1.0,г,270,2.71,2.71,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Пюре""НЕПОСЕДА""(ябл, йог)185г",2.0,г,185,1.55,3.1,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Пюре""НЕПОСЕДА""(ябл, кл,йог)185г",3.0,г,185,1.55,4.65,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Яйцо куриное (С-1,бел,х10,карт.)Кобрин",2.0,л,,3.83,7.66,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Вафли""ВОСТОЧНЫЕ""(микс)210г",1.0,г,210,5.57,5.57,158.59
edostavka,Cheque-12345678.pdf,2021-11-11 19:05:19,"Напиток к/м""EXP.HIGH- PRO""(безл,кл)250мл",2.0,л,250,3.99,7.98,158.59
