Магазин,Файл,Дата заказа,Товар,Количество,Единица,Вес единицы,Цена за единицу (BYN),Итого (BYN)
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ТВОРОГ САВУШКИН РАССЫПЧ.5% ПАК.350Г,1.0,г,350.0,3.39,3.39
sosedi,Check-000001.html,2026-05-22 12:15:39,Капуста белокочанная 1кг,1.904,кг,1.0,1.59,3.03
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] МОЛОКО ЗДРАВУШКА 3.2% ПЭТ 0.93Л,1.0,л,0.93,2.69,2.69
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] МОЛОКО ЗДРАВУШКА 3.2% ПЭТ 0.93Л,1.0,л,0.93,2.69,2.69
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] МОЛОКО ЗДРАВУШКА 3.2% ПЭТ 0.93Л,1.0,л,0.93,2.69,2.69
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% 250Г,1.0,г,250.0,2.25,2.25
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% 250Г,1.0,г,250.0,2.25,2.25
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% 250Г,1.0,г,250.0,2.25,2.25
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% 250Г,1.0,г,250.0,2.25,2.25
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% 250Г,1.0,г,250.0,2.25,2.25
sosedi,Check-000001.html,2026-05-22 12:15:39,Соль морская 1кг,0.477,кг,1.0,4.39,2.09
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ТВОРОГ ТРАДИЦИОННЫЙ 5% 180Г,1.0,г,180.0,1.96,1.96
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ТВОРОГ ТРАДИЦИОННЫЙ 5% 180Г,1.0,г,180.0,1.96,1.96
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ТВОРОГ ТРАДИЦИОННЫЙ 5% 180Г,1.0,г,180.0,1.96,1.96
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% МАНГО-ЧИА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% МАНГО-ЧИА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% МАНГО-ЧИА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% МАНГО-ЧИА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% МАНГО-ЧИА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000001.html,2026-05-22 12:15:39,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% МАНГО-ЧИА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000002.html,2026-05-19 09:28:56,АВОКАДО 1КГ,0.91,,1.0,12.99,11.82
sosedi,Check-000002.html,2026-05-19 09:28:56,РЫБА СВ/М ЗУБАТК.СИН.СТЕЙК ДЕЛ МАРЕ 600Г,1.0,г,600.0,10.99,10.99
sosedi,Check-000002.html,2026-05-19 09:28:56,РЫБА СВ/М ЗУБАТК.СИН.СТЕЙК ДЕЛ МАРЕ 600Г,1.0,г,600.0,10.99,10.99
sosedi,Check-000002.html,2026-05-19 09:28:56,СЫРОК ГЛ.МОЛОЧНАЯ СТРАНА 23% ВАН.45Г,11.0,г,45.0,0.99,10.89
sosedi,Check-000002.html,2026-05-19 09:28:56,Макароны спиральки 400г,3.0,г,400.0,3.29,9.87
sosedi,Check-000002.html,2026-05-19 09:28:56,Консервы горошек 425мл,2.708,л,0.425,3.44,9.32
sosedi,Check-000002.html,2026-05-19 09:28:56,Печенье детское 150г,3.0,г,150.0,2.49,7.47
sosedi,Check-000002.html,2026-05-19 09:28:56,ЯБЛОКО СВЕЖЕЕ РЕД ПРИНЦ РБ 1КГ,1.474,,1.0,4.44,6.54
sosedi,Check-000002.html,2026-05-19 09:28:56,БАНАН 1КГ,1.388,,1.0,4.67,6.48
sosedi,Check-000002.html,2026-05-19 09:28:56,БАНАН 1КГ,1.37,,1.0,4.67,6.4
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] СЫР БРЕСТ-ЛИТОВСК МААСДАМ 45% ФАС.200Г,1.0,г,200.0,5.46,5.46
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] СЫР БРЕСТ-ЛИТОВСК МААСДАМ 45% ФАС.200Г,1.0,г,200.0,5.46,5.46
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] СЫР БРЕСТ-ЛИТОВСК МААСДАМ 45% ФАС.200Г,1.0,г,200.0,5.46,5.46
sosedi,Check-000002.html,2026-05-19 09:28:56,ПЕЧЕНЬЕ СЛОДЫЧ МАРИЭРТА 430Г,1.0,г,430.0,5.41,5.41
sosedi,Check-000002.html,2026-05-19 09:28:56,Сливки 10% 0.5л,2.056,л,0.5,2.49,5.12
sosedi,Check-000002.html,2026-05-19 09:28:56,ЯБЛОКО СВЕЖЕЕ РЕД ПРИНЦ РБ 1КГ,1.09,,1.0,4.44,4.84
sosedi,Check-000002.html,2026-05-19 09:28:56,НАПИТОК К/М ЭКСПОН.БЕЗЛ.АНАН/КОК.500Г,1.0,г,500.0,4.79,4.79
sosedi,Check-000002.html,2026-05-19 09:28:56,САЛАТ ФАНТАЗИЯ 380Г,1.0,г,380.0,3.91,3.91
sosedi,Check-000002.html,2026-05-19 09:28:56,САЛАТ ФАНТАЗИЯ 380Г,1.0,г,380.0,3.91,3.91
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] НАПИТОК К/М ЭКСПОНЕНТА ВИШН/ВАН.450Г,1.0,г,450.0,3.49,3.49
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] НАПИТОК К/М ЭКСПОНЕНТА ВИШН/ВАН.450Г,1.0,г,450.0,3.49,3.49
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] НАПИТОК К/М ЭКСПОНЕНТА ВИШН/ВАН.450Г,1.0,г,450.0,3.49,3.49
sosedi,Check-000002.html,2026-05-19 09:28:56,САЛАТ КАПУСТА ПО-ДОМАШНЕМУ 380Г,1.0,г,380.0,3.41,3.41
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] НАПИТОК К/М ЭКСПОН.НОРМ ПРО КЛУБН.500Г,1.0,г,500.0,3.29,3.29
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] НАПИТОК К/М ЭКСПОН.НОРМ ПРО КЛУБН.500Г,1.0,г,500.0,3.29,3.29
sosedi,Check-000002.html,2026-05-19 09:28:56,САЛАТ МОРКОВЬ ПО-КОРЕЙС.УМНЫЙ ВЫБОР 380Г,1.0,г,380.0,2.99,2.99
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] МОЛОКО ОТБОРНОЕ 3.4-6% ПЭТ 0.93Л,1.0,л,0.93,2.88,2.88
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] МОЛОКО ОТБОРНОЕ 3.4-6% ПЭТ 0.93Л,1.0,л,0.93,2.88,2.88
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] МОЛОКО ОТБОРНОЕ 3.4-6% ПЭТ 0.93Л,1.0,л,0.93,2.88,2.88
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] МОЛОКО ОТБОРНОЕ 3.4-6% ПЭТ 0.93Л,1.0,л,0.93,2.88,2.88
sosedi,Check-000002.html,2026-05-19 09:28:56,СУХАРИ ЛАДУШКИ С ИЗЮМОМ 250Г,1.0,г,250.0,2.25,2.25
sosedi,Check-000002.html,2026-05-19 09:28:56,СУХАРИ ЛАДУШКИ С ИЗЮМОМ 250Г,1.0,г,250.0,2.25,2.25
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] ЙОГУРТ ЗВОНКА 2% ПЕРСИК/МАРАКУЙЯ 310Г,1.0,г,310.0,1.95,1.95
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] ЙОГУРТ ЗВОНКА 2% ПЕРСИК/МАРАКУЙЯ 310Г,1.0,г,310.0,1.95,1.95
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] ЙОГУРТ ЗВОНКА 2% ПЕРСИК/МАРАКУЙЯ 310Г,1.0,г,310.0,1.95,1.95
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] ЙОГУРТ ЗВОНКА 2% ПЕРСИК/МАРАКУЙЯ 310Г,1.0,г,310.0,1.95,1.95
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] МОРОЖЕНОЕ СУЛТАН ФИСТАШКА ЭСКИМО 80Г,1.0,г,80.0,1.7,1.7
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] МОРОЖЕНОЕ СУЛТАН ФИСТАШКА ЭСКИМО 80Г,1.0,г,80.0,1.7,1.7
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] МОРОЖЕНОЕ СУЛТАН ФИСТАШКА ЭСКИМО 80Г,1.0,г,80.0,1.7,1.7
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] МОРОЖЕНОЕ СУЛТАН ФИСТАШКА ЭСКИМО 80Г,1.0,г,80.0,1.7,1.7
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] МОРОЖЕНОЕ СУЛТАН ФИСТАШКА ЭСКИМО 80Г,1.0,г,80.0,1.7,1.7
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] МОРОЖЕНОЕ СУЛТАН ФИСТАШКА ЭСКИМО 80Г,1.0,г,80.0,1.7,1.7
sosedi,Check-000002.html,2026-05-19 09:28:56,КРУПА ГРЕЧНЕВАЯ УМНЫЙ ВЫБОР ЯДРИЦА 700Г,1.0,г,700.0,1.68,1.68
sosedi,Check-000002.html,2026-05-19 09:28:56,КРУПА ГРЕЧНЕВАЯ УМНЫЙ ВЫБОР ЯДРИЦА 700Г,1.0,г,700.0,1.68,1.68
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% ЧЕРНИКА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% ЧЕРНИКА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% МАНГО-ЧИА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% ЧЕРНИКА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% МАНГО-ЧИА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% МАНГО-ЧИА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% ЧЕРНИКА 140Г,1.0,г,140.0,1.57,1.57
sosedi,Check-000002.html,2026-05-19 09:28:56,[М] МОРОЖЕНОЕ СУЛТАН КРЕМ-БРЮЛЕ ЭСКИМО 80Г,1.0,г,80.0,1.37,1.37
sosedi,Check-000002.html,2026-05-19 09:28:56,БАТОН ДЛЯ ВАШЕЙ СЕМЬИ В/С УПАК.НАР.240Г,1.0,г,240.0,1.11,1.11
sosedi,Check-000002.html,2026-05-19 09:28:56,ПАКЕТ МАЙКА БАМБОЛЕЙЛО БОЛЬШОЙ,1.0,,,0.59,0.59
sosedi,Check-000003.html,2026-05-16 10:45:34,БУМАГА ТУАЛ.СОФФИОНЕ ЛАВАНДА 3-ХСЛ.4РУЛ.,1.0,,,4.44,4.44
sosedi,Check-000003.html,2026-05-16 10:45:34,Сгущенка вареная 8.5% 360г,1.0,г,360.0,4.2,4.2
sosedi,Check-000003.html,2026-05-16 10:45:34,Сметана 20% 400г,1.0,г,400.0,3.75,3.75
sosedi,Check-000003.html,2026-05-16 10:45:34,Кефир 3.2% 1л,1.207,л,1.0,2.95,3.56
sosedi,Check-000003.html,2026-05-16 10:45:34,[М] НАПИТОК К/М ЭКСПОНЕНТА ВИШН/ВАН.450Г,1.0,г,450.0,3.49,3.49
