Файл,Дата заказа,Товар,Количество,Единица,Вес единицы,Цена за единицу (BYN),Итого (BYN),Сумма чека (BYN)
sosedi,example.html,2024-01-16 12:38:50,КЕТЧУП ХАЙНЦ Д/ГРИЛЯ/ШАШЛЫКА 320Г,1.0,г,320,4.59,4.59,50.50
sosedi,example.html,2024-01-16 12:38:50,САЛАТ АЙСБЕРГ ИМПОРТНЫЙ 1КГ 62523,0.612,,1,14.98,9.17,50.50
sosedi,example.html,2024-01-16 12:38:50,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% ЗЛАК/КЛ.ЛЬНА 140Г,1.0,г,140,1.55,1.55,50.50
sosedi,example.html,2024-01-16 12:38:50,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% ЗЛАК/КЛ.ЛЬНА 140Г,1.0,г,140,1.55,1.55,50.50
sosedi,example.html,2024-01-16 12:38:50,[М] МАСЛО СЛ/СЛ.СЛАВЯНСКИЕ ТРАДИЦ.82.5% 180Г,1.0,г,180,5.16,5.16,50.50
sosedi,example.html,2024-01-16 12:38:50,[М] МАСЛО СЛ/СЛ.СЛАВЯНСКИЕ ТРАДИЦ.82.5% 180Г,1.0,г,180,5.16,5.16,50.50
sosedi,example.html,2024-01-16 12:38:50,[М] МАСЛО СЛ/СЛ.СЛАВЯНСКИЕ ТРАДИЦ.82.5% 180Г,1.0,г,180,5.16,5.16,50.50
sosedi,example.html,2024-01-16 12:38:50,[М] ЙОГУРТ БЕЛЛАКТ 2.9% КЛУБНИКА 380Г,1.0,г,380,2.21,2.21,50.50
sosedi,example.html,2024-01-16 12:38:50,[М] ЙОГУРТ БЕЛЛАКТ 2.9% ЧЕРНИКА 380Г,1.0,г,380,2.21,2.21,50.50
sosedi,example.html,2024-01-16 12:38:50,БАТОН ДЛЯ ВАШЕЙ СЕМЬИ В/С УПАК.НАР.500Г,1.0,г,500,1.98,1.98,50.50
sosedi,example.html,2024-01-16 12:38:50,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% ВИШНЯ 140Г,1.0,г,140,1.55,1.55,50.50
sosedi,example.html,2024-01-16 12:38:50,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% ВИШНЯ 140Г,1.0,г,140,1.55,1.55,50.50
sosedi,example.html,2024-01-16 12:38:50,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% ВИШНЯ 140Г,1.0,г,140,1.55,1.55,50.50
sosedi,example.html,2024-01-16 12:38:50,[М] ЙОГУРТ ГРЕЧ.ТЕОС 2% ВИШНЯ 140Г,1.0,г,140,1.55,1.55,50.50
sosedi,example.html,2024-01-16 12:38:50,ТОМАТ ИМПОРТНЫЙ 1КГ,0.664,,1,10.98,7.29,50.50
